Date,HT,AT,HS,AS
11/4/2010,Wanderers,Everton,2,0
11/4/2010,Cobresal,Audax Italiano,3,1
11/4/2010,Colo Colo,Palestino,3,0
11/4/2010,Universidad de Concepcion,Huachipato,0,2
10/7/2010,Cobreloa,Universidad de Chile,0,2
16/4/2010,Santiago Morning,Cobreloa,0,0
17/4/2010,Audax Italiano,Wanderers,0,4
17/4/2010,La Serena,Universidad Catolica,1,1
17/4/2010,Universidad de Chile,Universidad de Concepcion,4,2
18/4/2010,Huachipato,Colo Colo,1,2
18/4/2010,Everton,Cobresal,2,2
18/4/2010,Unión Española,San Luis,2,1
18/4/2010,San Felipe,Palestino,1,1
18/4/2010,Ñublense,O'Higgins,0,3
24/4/2010,Universidad de Concepcion,Audax Italiano,1,3
24/4/2010,San Luis,Santiago Morning,2,2
24/4/2010,O'Higgins,Huachipato,0,0
25/4/2010,Colo Colo,Universidad de Chile,1,0
25/4/2010,Cobreloa,La Serena,4,0
25/4/2010,Wanderers,Unión Española,1,1
25/4/2010,Cobresal,Ñublense,0,0
25/4/2010,Universidad Catolica,San Felipe,2,1
25/4/2010,Palestino,Everton,2,2
30/4/2010,San Felipe,Cobresal,1,0
30/4/2010,Huachipato,Universidad Catolica,1,3
30/4/2010,Santiago Morning,Colo Colo,0,2
2/5/2010,Unión Española,Cobreloa,3,1
2/5/2010,Ñublense,Wanderers,2,2
2/5/2010,Universidad de Chile,San Luis,4,0
2/5/2010,Audax Italiano,Palestino,1,3
2/5/2010,Everton,O'Higgins,1,0
2/5/2010,La Serena,Universidad de Concepcion,0,0
9/5/2010,Cobresal,Colo Colo,2,5
9/5/2010,Santiago Morning,Audax Italiano,0,1
9/5/2010,O'Higgins,Unión Española,0,0
10/5/2010,Universidad de Chile,Universidad Catolica,1,2
10/5/2010,Palestino,La Serena,3,0
10/5/2010,San Felipe,Everton,1,3
10/5/2010,Wanderers,San Luis,0,2
10/5/2010,Universidad de Concepcion,Ñublense,4,1
10/5/2010,Cobreloa,Huachipato,1,1
16/7/2010,Unión Española,San Felipe,1,2
17/7/2010,Ñublense,Universidad de Chile,0,2
17/7/2010,Audax Italiano,Everton,2,0
18/7/2010,Wanderers,Universidad de Concepcion,1,0
18/7/2010,San Luis,Palestino,0,0
18/7/2010,Colo Colo,O'Higgins,2,0
18/7/2010,La Serena,Cobresal,3,0
18/7/2010,Huachipato,Santiago Morning,1,0
18/7/2010,Universidad Catolica,Cobreloa,2,1
22/7/2010,Universidad de Chile,Audax Italiano,2,2
24/7/2010,Everton,Universidad Catolica,1,1
24/7/2010,O'Higgins,La Serena,4,0
25/7/2010,Cobreloa,San Luis,5,0
25/7/2010,San Felipe,Ñublense,3,1
25/7/2010,Santiago Morning,Wanderers,2,1
25/7/2010,Cobresal,Unión Española,1,0
25/7/2010,Palestino,Huachipato,2,1
25/7/2010,Universidad de Concepcion,Colo Colo,2,0
31/7/2010,San Luis,Huachipato,1,4
31/7/2010,Universidad Catolica,O'Higgins,4,1
1/8/2010,Universidad de Concepcion,Palestino,1,0
1/8/2010,Ñublense,Audax Italiano,1,5
1/8/2010,La Serena,Santiago Morning,2,0
1/8/2010,Wanderers,Cobreloa,2,1
1/8/2010,Colo Colo,San Felipe,5,2
5/9/2010,Cobresal,Universidad de Chile,1,2
5/9/2010,Unión Española,Everton,2,3
6/8/2010,Audax Italiano,Unión Española,5,2
7/8/2010,Cobreloa,Colo Colo,2,1
7/8/2010,O'Higgins,San Luis,0,0
8/8/2010,Universidad de Chile,La Serena,1,2
8/8/2010,Palestino,Universidad Catolica,0,1
8/8/2010,Santiago Morning,Cobresal,1,1
8/8/2010,Huachipato,Wanderers,3,2
8/8/2010,San Felipe,Universidad de Concepcion,0,0
8/9/2010,Everton,Ñublense,2,3
13/8/2010,Audax Italiano,San Felipe,1,0
14/8/2010,Wanderers,Colo Colo,0,1
14/8/2010,Unión Española,Palestino,3,2
14/8/2010,Universidad de Concepcion,O'Higgins,2,1
15/8/2010,Ñublense,Huachipato,1,1
15/8/2010,Santiago Morning,Universidad Catolica,0,2
15/8/2010,San Luis,La Serena,0,1
15/8/2010,Cobresal,Cobreloa,0,1
15/8/2010,Universidad de Chile,Everton,5,1
20/8/2010,O'Higgins,Cobresal,0,1
21/8/2010,Huachipato,Universidad de Chile,1,2
21/8/2010,Universidad Catolica,San Luis,4,1
22/8/2010,Palestino,Ñublense,2,0
22/8/2010,San Felipe,Santiago Morning,1,0
22/8/2010,Everton,Universidad de Concepcion,1,1
22/8/2010,La Serena,Wanderers,4,0
22/8/2010,Cobreloa,Audax Italiano,1,1
22/8/2010,Colo Colo,Unión Española,1,0
27/8/2010,Universidad de Chile,Wanderers,1,0
28/8/2010,Palestino,Santiago Morning,2,1
28/8/2010,Everton,San Luis,1,1
28/8/2010,Cobresal,Universidad Catolica,3,1
28/8/2010,Unión Española,Huachipato,5,0
28/8/2010,Universidad de Concepcion,Cobreloa,3,0
28/8/2010,San Felipe,La Serena,1,0
29/8/2010,Ñublense,Colo Colo,0,0
29/8/2010,Audax Italiano,O'Higgins,2,1
10/9/2010,Universidad Catolica,Unión Española,2,0
11/9/2010,La Serena,Ñublense,1,0
12/9/2010,O'Higgins,San Felipe,1,2
12/9/2010,Cobreloa,Palestino,0,0
12/9/2010,Wanderers,Cobresal,0,4
12/9/2010,Huachipato,Everton,1,1
12/9/2010,Colo Colo,Audax Italiano,1,3
13/9/2010,Santiago Morning,Universidad de Chile,1,2
15/9/2010,San Luis,Universidad de Concepcion,1,0
17/9/2010,Palestino,Wanderers,0,1
17/9/2010,San Felipe,Cobreloa,1,0
17/9/2010,Cobresal,Huachipato,2,1
17/9/2010,Unión Española,Santiago Morning,2,2
17/9/2010,Audax Italiano,La Serena,2,1
19/9/2010,Ñublense,San Luis,4,0
19/9/2010,Universidad de Concepcion,Universidad Catolica,2,2
22/9/2010,Universidad de Chile,O'Higgins,0,1
29/9/2010,Everton,Colo Colo,0,2
24/9/2010,San Luis,Cobresal,1,1
25/9/2010,Unión Española,Universidad de Concepcion,3,0
25/9/2010,Santiago Morning,Everton,3,0
25/9/2010,Universidad Catolica,Audax Italiano,2,3
26/9/2010,La Serena,Colo Colo,1,2
26/9/2010,Wanderers,O'Higgins,1,1
26/9/2010,Cobreloa,Ñublense,3,2
26/9/2010,Huachipato,San Felipe,1,1
26/9/2010,Universidad de Chile,Palestino,1,2
1/10/2010,Audax Italiano,Huachipato,1,1
1/10/2010,San Felipe,Universidad de Chile,1,2
2/10/2010,Universidad Catolica,Wanderers,3,1
2/10/2010,Universidad de Concepcion,Santiago Morning,0,0
2/10/2010,Colo Colo,San Luis,3,1
3/10/2010,Palestino,Cobresal,1,0
3/10/2010,O'Higgins,Cobreloa,2,2
3/10/2010,Ñublense,Unión Española,1,1
3/10/2010,Everton,La Serena,3,3
15/10/2010,Huachipato,La Serena,0,0
16/10/2010,Wanderers,San Felipe,2,1
16/10/2010,Unión Española,Universidad de Chile,2,1
16/10/2010,San Luis,Audax Italiano,1,2
17/10/2010,Cobresal,Universidad de Concepcion,3,1
17/10/2010,Cobreloa,Everton,4,0
17/10/2010,O'Higgins,Palestino,4,1
17/10/2010,Santiago Morning,Ñublense,4,1
17/10/2010,Colo Colo,Universidad Catolica,3,2
21/10/2010,Audax Italiano,Cobresal,4,2
21/10/2010,Palestino,Colo Colo,1,2
23/10/2010,Everton,Wanderers,0,2
23/10/2010,Huachipato,Universidad de Concepcion,3,0
24/10/2010,La Serena,Unión Española,3,1
24/10/2010,San Felipe,San Luis,3,0
24/10/2010,Santiago Morning,O'Higgins,2,1
24/10/2010,Ñublense,Universidad Catolica,1,4
25/10/2010,Universidad de Chile,Cobreloa,3,1
29/10/2010,San Luis,Unión Española,3,1
30/10/2010,O'Higgins,Ñublense,2,2
30/10/2010,Universidad Catolica,La Serena,2,1
31/10/2010,Cobreloa,Santiago Morning,2,1
31/10/2010,Universidad de Concepcion,Universidad de Chile,2,0
31/10/2010,Cobresal,Everton,1,2
31/10/2010,Wanderers,Audax Italiano,1,0
31/10/2010,Palestino,San Felipe,1,0
31/10/2010,Colo Colo,Huachipato,0,0
5/11/2010,Audax Italiano,Universidad de Concepcion,4,1
6/11/2010,San Felipe,Universidad Catolica,1,3
6/11/2010,La Serena,Cobreloa,1,0
6/11/2010,Everton,Palestino,1,1
6/11/2010,Unión Española,Wanderers,3,0
7/11/2010,Universidad de Chile,Colo Colo,2,2
7/11/2010,Santiago Morning,San Luis,2,0
7/11/2010,Ñublense,Cobresal,3,1
7/11/2010,Huachipato,O'Higgins,2,1
12/11/2010,Universidad Catolica,Huachipato,2,0
13/11/2010,San Luis,Universidad de Chile,0,3
13/11/2010,Universidad de Concepcion,La Serena,1,0
13/11/2010,Colo Colo,Santiago Morning,0,1
14/11/2010,Cobresal,San Felipe,0,0
14/11/2010,Palestino,Audax Italiano,2,5
14/11/2010,Wanderers,Ñublense,2,2
14/11/2010,Cobreloa,Unión Española,3,1
14/11/2010,O'Higgins,Everton,0,0
19/11/2010,San Luis,Wanderers,3,4
20/11/2010,Everton,San Felipe,3,0
20/11/2010,Colo Colo,Cobresal,1,0
21/11/2010,Universidad Catolica,Universidad de Chile,4,2
21/11/2010,La Serena,Palestino,2,0
21/11/2010,Ñublense,Universidad de Concepcion,2,2
21/11/2010,Huachipato,Cobreloa,2,0
21/11/2010,Audax Italiano,Santiago Morning,1,0
21/11/2010,Unión Española,O'Higgins,1,1
26/11/2010,San Felipe,Unión Española,2,4
27/11/2010,Cobreloa,Universidad Catolica,2,3
27/11/2010,Everton,Audax Italiano,1,2
27/11/2010,Universidad de Concepcion,Wanderers,1,2
28/11/2010,Santiago Morning,Huachipato,0,3
28/11/2010,O'Higgins,Colo Colo,2,1
28/11/2010,Palestino,San Luis,3,2
28/11/2010,Cobresal,La Serena,0,2
28/11/2010,Universidad de Chile,Ñublense,1,2
3/12/2010,Audax Italiano,Universidad de Chile,1,2
4/12/2010,La Serena,O'Higgins,4,2
4/12/2010,Unión Española,Cobresal,2,0
5/12/2010,Wanderers,Santiago Morning,1,1
5/12/2010,Huachipato,Palestino,0,0
5/12/2010,San Luis,Cobreloa,2,1
5/12/2010,Ñublense,San Felipe,2,0
5/12/2010,Colo Colo,Universidad de Concepcion,4,2
5/12/2010,Universidad Catolica,Everton,5,0
9/6/2011,Universidad de Chile,Universidad Catolica,0,2
12/6/2011,Universidad Catolica,Universidad de Chile,1,4
1/6/2011,O'Higgins,Universidad de Chile,0,1
4/6/2011,Universidad de Chile,O'Higgins,7,1
2/6/2011,Union Calera,Universidad Catolica,2,1
5/6/2011,Universidad Catolica,Union Calera,1,0
25/5/2011,San Felipe,Universidad de Chile,1,2
28/5/2011,Universidad de Chile,San Felipe,1,1
25/5/2011,O'Higgins,Palestino,1,1
28/5/2011,Palestino,O'Higgins,0,3
26/5/2011,Union Calera,Unión Española,1,0
29/5/2011,Unión Española,Union Calera,0,0
26/5/2011,Colo Colo,Universidad Catolica,2,4
29/5/2011,Universidad Catolica,Colo Colo,1,1
28/1/2011,Iquique,Universidad Catolica,0,2
29/1/2011,Audax Italiano,Palestino,1,3
29/1/2011,La Serena,Universidad de Chile,1,1
29/1/2011,Huachipato,Universidad de Concepcion,1,0
29/1/2011,Ñublense,Wanderers,2,0
30/1/2011,San Felipe,O'Higgins,3,1
30/1/2011,Colo Colo,Cobresal,0,3
30/1/2011,Santiago Morning,Union Calera,1,1
30/1/2011,Unión Española,Cobreloa,0,2
4/2/2011,Universidad Catolica,Audax Italiano,3,1
5/2/2011,Cobresal,Huachipato,3,2
5/2/2011,Wanderers,Colo Colo,2,1
5/2/2011,Universidad de Concepcion,La Serena,0,0
5/2/2011,Universidad de Chile,Ñublense,3,1
6/2/2011,Cobreloa,Iquique,0,0
6/2/2011,Santiago Morning,O'Higgins,2,4
6/2/2011,Palestino,Unión Española,1,2
6/2/2011,Union Calera,San Felipe,1,0
11/2/2011,Unión Española,Wanderers,2,1
12/2/2011,Union Calera,Universidad Catolica,2,1
12/2/2011,Huachipato,Ñublense,3,1
12/2/2011,La Serena,Santiago Morning,0,0
12/2/2011,Colo Colo,Universidad de Concepcion,1,5
12/2/2011,Iquique,San Felipe,1,1
13/2/2011,Cobreloa,Universidad de Chile,1,4
13/2/2011,Audax Italiano,Cobresal,3,2
28/3/2011,O'Higgins,Palestino,1,2
18/2/2011,Wanderers,Palestino,1,1
18/2/2011,La Serena,Audax Italiano,2,3
18/2/2011,Ñublense,O'Higgins,2,3
19/2/2011,Cobresal,Union Calera,3,1
19/2/2011,Santiago Morning,Iquique,3,1
19/2/2011,Universidad de Concepcion,Cobreloa,0,1
19/2/2011,Universidad Catolica,Huachipato,2,1
20/2/2011,San Felipe,Colo Colo,2,0
20/2/2011,Universidad de Chile,Unión Española,2,1
22/2/2011,O'Higgins,Universidad Catolica,2,3
22/2/2011,Union Calera,La Serena,2,0
22/2/2011,Ñublense,Cobreloa,2,1
23/2/2011,Audax Italiano,San Felipe,2,1
23/2/2011,Huachipato,Wanderers,3,1
23/2/2011,Palestino,Colo Colo,0,3
23/2/2011,Iquique,Universidad de Concepcion,1,3
24/2/2011,Unión Española,Cobresal,3,0
24/2/2011,Universidad de Chile,Santiago Morning,1,2
25/2/2011,La Serena,O'Higgins,1,2
26/2/2011,Universidad Catolica,Wanderers,1,1
27/2/2011,Cobreloa,Union Calera,0,1
27/2/2011,Cobresal,Palestino,2,1
27/2/2011,Iquique,Ñublense,2,1
27/2/2011,Universidad de Concepcion,Universidad de Chile,1,5
27/2/2011,Santiago Morning,Audax Italiano,2,2
27/2/2011,San Felipe,Unión Española,1,1
26/3/2011,Colo Colo,Huachipato,1,2
4/3/2011,Audax Italiano,Cobreloa,1,0
5/3/2011,O'Higgins,Cobresal,3,0
5/3/2011,Huachipato,Iquique,3,1
5/3/2011,Universidad de Chile,San Felipe,0,2
5/3/2011,Ñublense,La Serena,2,3
6/3/2011,Union Calera,Universidad de Concepcion,2,0
6/3/2011,Wanderers,Santiago Morning,4,1
6/3/2011,Unión Española,Colo Colo,1,2
6/3/2011,Palestino,Universidad Catolica,1,2
11/3/2011,Colo Colo,Union Calera,2,0
12/3/2011,San Felipe,Huachipato,2,1
12/3/2011,Universidad de Concepcion,Audax Italiano,1,0
13/3/2011,Cobreloa,O'Higgins,2,3
13/3/2011,La Serena,Palestino,2,3
13/3/2011,Iquique,Wanderers,4,1
13/3/2011,Santiago Morning,Unión Española,1,1
13/3/2011,Universidad Catolica,Ñublense,2,0
24/3/2011,Cobresal,Universidad de Chile,2,5
18/3/2011,Universidad Catolica,Santiago Morning,2,1
19/3/2011,O'Higgins,Universidad de Chile,1,1
19/3/2011,Ñublense,San Felipe,1,0
19/3/2011,Unión Española,Iquique,3,0
19/3/2011,Huachipato,La Serena,0,4
20/3/2011,Palestino,Universidad de Concepcion,3,2
20/3/2011,Colo Colo,Cobreloa,1,1
20/3/2011,Wanderers,Cobresal,3,0
20/3/2011,Union Calera,Audax Italiano,3,1
31/3/2011,Unión Española,Union Calera,3,1
2/4/2011,San Felipe,Universidad Catolica,1,2
2/4/2011,Universidad de Concepcion,O'Higgins,0,1
2/4/2011,La Serena,Iquique,0,0
3/4/2011,Santiago Morning,Huachipato,1,1
3/4/2011,Cobreloa,Palestino,1,0
3/4/2011,Cobresal,Ñublense,1,2
3/4/2011,Audax Italiano,Colo Colo,2,1
3/4/2011,Universidad de Chile,Wanderers,4,1
8/4/2011,Wanderers,San Felipe,1,2
9/4/2011,Palestino,Union Calera,1,1
9/4/2011,Huachipato,Audax Italiano,1,1
9/4/2011,Colo Colo,La Serena,4,1
9/4/2011,Iquique,Universidad de Chile,2,2
10/4/2011,Ñublense,Santiago Morning,1,1
10/4/2011,O'Higgins,Unión Española,0,0
10/4/2011,Cobresal,Universidad de Concepcion,4,3
10/4/2011,Universidad Catolica,Cobreloa,2,0
15/4/2011,San Felipe,Santiago Morning,3,1
16/4/2011,Union Calera,Universidad de Chile,0,2
16/4/2011,Palestino,Iquique,1,0
16/4/2011,Universidad de Concepcion,Ñublense,1,0
16/4/2011,Audax Italiano,O'Higgins,1,3
17/4/2011,La Serena,Wanderers,3,1
17/4/2011,Cobreloa,Cobresal,1,0
17/4/2011,Colo Colo,Universidad Catolica,1,1
17/4/2011,Unión Española,Huachipato,4,2
21/4/2011,Ñublense,Unión Española,0,5
23/4/2011,O'Higgins,Union Calera,2,0
23/4/2011,Wanderers,Universidad de Concepcion,2,1
23/4/2011,Huachipato,Cobreloa,1,1
23/4/2011,Universidad de Chile,Palestino,0,0
23/4/2011,Universidad Catolica,Cobresal,5,2
23/4/2011,Iquique,Audax Italiano,2,0
24/4/2011,San Felipe,La Serena,0,1
24/4/2011,Santiago Morning,Colo Colo,0,1
28/4/2011,Audax Italiano,Wanderers,4,0
29/4/2011,O'Higgins,Iquique,0,1
29/4/2011,Unión Española,La Serena,4,3
30/4/2011,Palestino,Ñublense,1,0
30/4/2011,Universidad de Chile,Colo Colo,2,1
30/4/2011,Cobreloa,San Felipe,1,1
30/4/2011,Cobresal,Santiago Morning,1,4
30/4/2011,Universidad de Concepcion,Universidad Catolica,1,2
30/4/2011,Union Calera,Huachipato,0,0
6/5/2011,La Serena,Cobresal,2,1
7/5/2011,Huachipato,Universidad de Chile,1,2
7/5/2011,Wanderers,Cobreloa,2,0
7/5/2011,Universidad Catolica,Unión Española,0,0
7/5/2011,Iquique,Union Calera,1,0
8/5/2011,Santiago Morning,Palestino,0,4
8/5/2011,Ñublense,Audax Italiano,0,0
8/5/2011,San Felipe,Universidad de Concepcion,1,3
8/5/2011,Colo Colo,O'Higgins,5,1
13/5/2011,Universidad de Concepcion,Santiago Morning,2,1
14/5/2011,Palestino,Huachipato,1,0
14/5/2011,O'Higgins,Wanderers,1,1
14/5/2011,Colo Colo,Iquique,1,1
15/5/2011,Union Calera,Ñublense,2,0
15/5/2011,Universidad Catolica,Universidad de Chile,2,2
15/5/2011,Cobreloa,La Serena,3,3
15/5/2011,Cobresal,San Felipe,1,2
15/5/2011,Audax Italiano,Unión Española,1,3
20/5/2011,Unión Española,Universidad de Concepcion,1,1
21/5/2011,Universidad de Chile,Audax Italiano,2,1
21/5/2011,San Felipe,Palestino,2,3
21/5/2011,Huachipato,O'Higgins,2,1
21/5/2011,Iquique,Cobresal,1,1
22/5/2011,Ñublense,Colo Colo,2,3
22/5/2011,Wanderers,Union Calera,1,1
22/5/2011,Santiago Morning,Cobreloa,1,1
22/5/2011,La Serena,Universidad Catolica,2,2
26/12/2011,Cobreloa,Universidad de Chile,0,0
29/12/2011,Universidad de Chile,Cobreloa,3,0
17/12/2011,Colo Colo,Cobreloa,2,3
18/12/2011,Universidad Catolica,Universidad de Chile,1,2
20/12/2011,Cobreloa,Colo Colo,1,2
22/12/2011,Universidad de Chile,Universidad Catolica,1,2
3/12/2011,La Serena,Colo Colo,2,6
3/12/2011,Universidad Catolica,Audax Italiano,3,1
4/12/2011,Union Calera,Cobreloa,0,1
4/12/2011,Unión Española,Universidad de Chile,0,1
10/12/2011,Colo Colo,La Serena,3,1
10/12/2011,Audax Italiano,Universidad Catolica,0,1
11/12/2011,Cobreloa,Union Calera,4,3
11/12/2011,Universidad de Chile,Unión Española,3,0
29/7/2011,O'Higgins,San Felipe,3,0
30/7/2011,Palestino,Audax Italiano,0,0
30/7/2011,Universidad Catolica,Iquique,4,1
30/7/2011,Universidad de Chile,La Serena,3,0
31/7/2011,Cobreloa,Unión Española,0,0
31/7/2011,Universidad de Concepcion,Huachipato,1,1
31/7/2011,Wanderers,Ñublense,0,1
31/7/2011,Union Calera,Santiago Morning,2,0
3/9/2011,Cobresal,Colo Colo,0,2
5/8/2011,Unión Española,Palestino,0,0
6/8/2011,Huachipato,Cobresal,1,0
6/8/2011,Audax Italiano,Universidad Catolica,0,0
6/8/2011,San Felipe,Union Calera,1,1
7/8/2011,Iquique,Cobreloa,2,4
7/8/2011,O'Higgins,Santiago Morning,2,1
7/8/2011,La Serena,Universidad de Concepcion,2,0
7/8/2011,Colo Colo,Wanderers,3,1
3/9/2011,Ñublense,Universidad de Chile,1,4
12/8/2011,San Felipe,Iquique,2,1
13/8/2011,Palestino,O'Higgins,2,2
13/8/2011,Cobresal,Audax Italiano,3,2
13/8/2011,Wanderers,Unión Española,1,1
13/8/2011,Universidad Catolica,Union Calera,4,0
14/8/2011,Ñublense,Huachipato,2,4
14/8/2011,Santiago Morning,La Serena,4,1
14/8/2011,Universidad de Concepcion,Colo Colo,3,0
14/8/2011,Universidad de Chile,Cobreloa,3,1
19/8/2011,Union Calera,Cobresal,0,1
19/8/2011,Audax Italiano,La Serena,2,1
20/8/2011,Palestino,Wanderers,1,1
20/8/2011,Cobreloa,Universidad de Concepcion,1,1
20/8/2011,Huachipato,Universidad Catolica,1,1
20/8/2011,O'Higgins,Ñublense,1,1
21/8/2011,Iquique,Santiago Morning,4,2
21/8/2011,Unión Española,Universidad de Chile,0,1
21/8/2011,Colo Colo,San Felipe,2,2
22/8/2011,La Serena,Union Calera,0,0
23/8/2011,Cobreloa,Ñublense,2,0
23/8/2011,Universidad Catolica,O'Higgins,2,0
24/8/2011,Wanderers,Huachipato,2,1
24/8/2011,Universidad de Concepcion,Iquique,3,1
24/8/2011,Cobresal,Unión Española,2,2
24/8/2011,San Felipe,Audax Italiano,2,2
24/8/2011,Colo Colo,Palestino,3,1
25/8/2011,Santiago Morning,Universidad de Chile,0,2
26/8/2011,O'Higgins,La Serena,1,1
27/8/2011,Palestino,Cobresal,2,1
27/8/2011,Huachipato,Colo Colo,1,2
27/8/2011,Unión Española,San Felipe,3,0
28/8/2011,Union Calera,Cobreloa,0,1
28/8/2011,Ñublense,Iquique,1,2
28/8/2011,Wanderers,Universidad Catolica,2,0
28/8/2011,Audax Italiano,Santiago Morning,5,0
28/8/2011,Universidad de Chile,Universidad de Concepcion,2,0
9/9/2011,La Serena,Ñublense,3,1
10/9/2011,Santiago Morning,Wanderers,3,0
10/9/2011,Universidad de Concepcion,Union Calera,0,0
10/9/2011,San Felipe,Universidad de Chile,0,3
10/9/2011,Colo Colo,Unión Española,3,2
11/9/2011,Cobreloa,Audax Italiano,3,4
11/9/2011,Cobresal,O'Higgins,1,0
11/9/2011,Iquique,Huachipato,3,2
11/9/2011,Universidad Catolica,Palestino,2,1
15/9/2011,Audax Italiano,Universidad de Concepcion,2,1
16/9/2011,Huachipato,San Felipe,2,2
16/9/2011,Unión Española,Santiago Morning,1,0
17/9/2011,Universidad de Chile,Cobresal,3,1
17/9/2011,Union Calera,Colo Colo,3,0
17/9/2011,Palestino,La Serena,1,1
17/9/2011,O'Higgins,Cobreloa,2,2
17/9/2011,Wanderers,Iquique,2,2
17/9/2011,Ñublense,Universidad Catolica,2,0
23/9/2011,Audax Italiano,Union Calera,2,1
23/9/2011,La Serena,Huachipato,1,0
23/9/2011,Iquique,Unión Española,1,5
24/9/2011,Cobresal,Wanderers,3,2
24/9/2011,San Felipe,Ñublense,1,2
24/9/2011,Santiago Morning,Universidad Catolica,3,2
24/9/2011,Universidad de Concepcion,Palestino,0,0
25/9/2011,Cobreloa,Colo Colo,0,1
25/9/2011,Universidad de Chile,O'Higgins,3,0
27/9/2011,Union Calera,Unión Española,2,0
27/9/2011,Universidad Catolica,San Felipe,0,1
28/9/2011,Palestino,Cobreloa,0,2
28/9/2011,Wanderers,Universidad de Chile,1,1
28/9/2011,O'Higgins,Universidad de Concepcion,3,0
28/9/2011,Ñublense,Cobresal,0,2
28/9/2011,Iquique,La Serena,1,1
29/9/2011,Huachipato,Santiago Morning,1,3
29/9/2011,Colo Colo,Audax Italiano,3,0
1/10/2011,Cobreloa,Universidad Catolica,2,0
1/10/2011,Universidad de Concepcion,Cobresal,0,0
1/10/2011,Universidad de Chile,Iquique,2,2
2/10/2011,Union Calera,Palestino,3,2
2/10/2011,San Felipe,Wanderers,0,2
2/10/2011,La Serena,Colo Colo,4,0
2/10/2011,Santiago Morning,Ñublense,1,3
2/10/2011,Unión Española,O'Higgins,3,1
2/10/2011,Audax Italiano,Huachipato,1,1
12/10/2011,Universidad de Chile,Union Calera,3,2
14/10/2011,Huachipato,Unión Española,2,1
15/10/2011,Santiago Morning,San Felipe,1,1
15/10/2011,Wanderers,La Serena,0,2
15/10/2011,Ñublense,Universidad de Concepcion,2,1
15/10/2011,Iquique,Palestino,1,3
16/10/2011,Cobresal,Cobreloa,0,3
16/10/2011,Universidad Catolica,Colo Colo,4,0
16/10/2011,O'Higgins,Audax Italiano,0,1
21/10/2011,Audax Italiano,Iquique,3,0
22/10/2011,Union Calera,O'Higgins,1,0
22/10/2011,La Serena,San Felipe,2,1
22/10/2011,Universidad de Concepcion,Wanderers,2,2
22/10/2011,Palestino,Universidad de Chile,1,1
22/10/2011,Unión Española,Ñublense,3,1
23/10/2011,Cobresal,Universidad Catolica,2,2
23/10/2011,Cobreloa,Huachipato,1,0
23/10/2011,Colo Colo,Santiago Morning,3,1
28/10/2011,San Felipe,Cobreloa,1,1
29/10/2011,Wanderers,Audax Italiano,2,0
29/10/2011,Iquique,O'Higgins,3,2
29/10/2011,Santiago Morning,Cobresal,5,0
29/10/2011,Huachipato,Union Calera,1,0
29/10/2011,La Serena,Unión Española,3,2
29/10/2011,Ñublense,Palestino,3,1
30/10/2011,Colo Colo,Universidad de Chile,2,2
30/10/2011,Universidad Catolica,Universidad de Concepcion,2,1
4/11/2011,Audax Italiano,Ñublense,2,0
5/11/2011,Palestino,Santiago Morning,2,4
5/11/2011,Universidad de Concepcion,San Felipe,2,1
5/11/2011,Unión Española,Universidad Catolica,1,2
5/11/2011,Union Calera,Iquique,1,2
6/11/2011,Cobresal,La Serena,2,1
6/11/2011,Cobreloa,Wanderers,1,0
6/11/2011,O'Higgins,Colo Colo,2,0
6/11/2011,Universidad de Chile,Huachipato,5,3
19/11/2011,Huachipato,Palestino,0,1
19/11/2011,Iquique,Colo Colo,1,1
19/11/2011,Santiago Morning,Universidad de Concepcion,0,3
19/11/2011,Wanderers,O'Higgins,1,0
19/11/2011,La Serena,Cobreloa,2,1
19/11/2011,San Felipe,Cobresal,1,1
19/11/2011,Unión Española,Audax Italiano,5,2
20/11/2011,Universidad de Chile,Universidad Catolica,0,0
20/11/2011,Ñublense,Union Calera,1,3
26/11/2011,Universidad Catolica,La Serena,4,1
26/11/2011,Colo Colo,Ñublense,2,1
27/11/2011,Union Calera,Wanderers,1,0
27/11/2011,Cobresal,Iquique,3,3
27/11/2011,Palestino,San Felipe,1,0
27/11/2011,O'Higgins,Huachipato,4,4
27/11/2011,Universidad de Concepcion,Unión Española,2,2
27/11/2011,Cobreloa,Santiago Morning,2,1
27/11/2011,Audax Italiano,Universidad de Chile,1,1
28/6/2012,O'Higgins,Universidad de Chile,2,1
2/7/2012,Universidad de Chile,O'Higgins,2,1
16/6/2012,Unión Española,O'Higgins,1,0
17/6/2012,Colo Colo,Universidad de Chile,2,0
23/6/2012,O'Higgins,Unión Española,2,1
24/6/2012,Universidad de Chile,Colo Colo,4,0
23/5/2012,Colo Colo,Iquique,3,3
23/5/2012,Unión Española,Universidad Catolica,0,3
24/5/2012,Union Calera,O'Higgins,0,1
27/5/2012,Cobreloa,Universidad de Chile,0,2
26/5/2012,Universidad Catolica,Unión Española,1,1
26/5/2012,Iquique,Colo Colo,1,2
27/5/2012,O'Higgins,Union Calera,3,2
11/6/2012,Universidad de Chile,Cobreloa,2,1
27/1/2012,O'Higgins,Antofagasta,1,0
28/1/2012,Rangers,La Serena,2,0
28/1/2012,Palestino,Universidad Catolica,1,2
28/1/2012,Huachipato,Wanderers,2,1
29/1/2012,Cobresal,San Felipe,1,1
29/1/2012,Union Calera,Universidad de Concepcion,1,1
29/1/2012,Colo Colo,Iquique,0,0
